0;0;0;0;x;x;
1;0;0;0;Milloresder;x;
2;171;128;0;Lindcyeia;x;
3;115;0;0;Megaachdos;x;
4;90;0;0;Dimakydones;x;
5;130;0;0;Ithdyate;x;
6;25;0;0;Delknoate;x;
7;100;0;5;Klazocymlia;x;
8;212;128;7;Dormarpolis;x;
9;50;0;0;Eubadramion;x;
10;180;0;0;Metapmetholea;x;
11;45;0;10;Hermhalicdus;x;
12;232;128;11;Mesemcalthera;x;
13;73;128;7;Kummocthrae;x;
14;200;128;5;Kimmedioyra;x;
15;121;128;11;Liithatiri;x;
16;210;124;9;Marmkioina;x;
17;216;128;16;Laukameirita;x;
18;151;128;17;Kerkleillai;x;
19;193;128;18;Klazkameene;x;
20;194;128;18;Kyndecuf;x;
21;100;0;20;Kallimaroate;x;
22;94;128;21;Mallandai;x;
23;134;128;21;Bereleuon;x;
24;20;0;20;Gongeium;x;
25;145;128;24;Ialastllai;x;
26;25;0;25;Masskalliica;x;
27;166;128;26;Odesschersyra;x;
28;207;128;26;besalu;x;
29;110;128;28;Oricmaronmos;x;
30;247;128;27;Colelaai;x;
31;127;205;36;malaga;x;
32;56;128;29;Demhithos;x;
33;194;128;32;Maratgythila;x;
34;204;128;33;Claidallia;x;
35;68;128;33;Hermigourncum;x;
36;54;128;32;Lampamarythus;x;
37;111;128;36;Dymorestcum;x;
38;168;128;36;Maniceia;x;
39;159;128;34;Olynaskllia;x;
40;120;128;34;Megaasktes;x;
41;100;0;40;Lefkklaissa;x;
42;213;128;41;Helmassaalous;x;
43;74;128;42;Kyknidate;x;
44;76;128;41;Gannaxcia;x;
45;180;128;44;Maskaialous;x;
46;211;128;45;Mamonaon;x;
47;150;128;46;Monoastleontcia;x;
48;249;128;47;Oepmarmtiri;x;
49;212;128;48;Ithanmillalous;x;
50;246;128;40;Lekhchytai;x;
51;165;128;49;Chercleomenus;x;
52;23;128;50;Delphhelocum;x;
53;248;128;52;Laodiithesmos;x;
54;96;128;53;Artemlamptherna;x;
55;194;0;54;ciudad_real;x;
56;97;128;53;Mocyosse;x;
57;107;128;55;Larieubene;x;
58;106;128;48;Kamarkasine;x;
59;81;100;56;Iaasosse;x;
60;129;128;59;Astmeselia;x;
61;182;128;59;Mukeolyera;x;
62;100;0;60;Gokyrenrias;x;
63;189;128;61;Gytolymetta;x;
64;60;0;60;Boukyrepetra;x;
65;96;128;64;Lekhbergdos;x;
66;135;0;65;Dimempordia;x;
67;193;128;61;Leihyida;x;
68;61;128;64;Orchoialyene;x;
69;116;128;64;Cleolymila;x;
70;245;128;64;Athclethus;x;
71;89;128;62;Doryleibum;x;
72;142;128;69;Maselaissa;x;
73;68;128;65;Kolebenes;x;
74;231;128;70;Alincallirea;x;
75;255;128;74;Kuephyrosse;x;
76;153;128;75;Delolbithera;x;
77;188;128;75;Andrepiiana;x;
78;79;128;70;Ialebaea;x;
79;247;128;75;Monagyrthiine;x;
80;238;112;32;Mallarlea;x;
81;100;0;80;Lekhithanica;x;
82;247;116;35;Opusartemyra;x;
83;221;132;11;Lisknospolis;x;
84;255;0;100;Crotorchllai;x;
85;100;0;100;Nymphopoas;x;
86;120;0;100;Monasedthena;x;
87;180;0;100;Hierlamae;x;
88;140;0;100;Clazmiletlia;x;
89;20;0;100;Epheretoas;x;
90;0;0;100;Klazoelepetra;x;
91;80;0;100;Lepidalnae;x;
92;60;0;100;Monoastkouum;x;
93;131;97;20;Heargyrthera;x;
94;110;0;110;Ialkyinda;x;
95;228;215;67;Metaleklia;x;
96;200;140;3;Lindhydus;x;
97;65;69;3;Lebemonasttes;x;
98;238;54;39;Lambythtrias;x;
99;100;0;120;Kumdemetder;x;
100;248;56;17;Olbkiothera;x;
101;255;0;130;Hemesemalous;x;
102;114;124;33;Mesephythos;x;
103;100;0;140;Aigambrai;x;
104;126;0;140;Kydlaodios;x;
105;175;205;58;Lamnemon;x;
106;156;210;0;Monasmileera;x;
107;168;89;40;Ithanidaessa;x;
108;200;140;10;Gythimagnlia;x;
109;139;186;39;Kamhemeoas;x;
110;157;222;5;Lekhclazorias;x;
111;144;128;171;jonzac;x;
112;224;128;171;Asolbimea;x;
113;89;62;37;Maropusatrea;x;
114;133;221;39;Madytithanatrea;x;
115;144;229;27;Kamarkium;x;
116;167;116;54;Leprcolmenus;x;
117;185;240;61;Kyklalia;x;
118;255;205;68;Laborysder;x;
119;234;213;57;Athborysetta;x;
120;236;210;11;Kameircalythena;x;
121;86;245;7;Hekerkiium;x;
122;201;240;67;Eresasera;x;
123;98;72;51;Myimbrllai;x;
124;104;0;238;saint_malo;x;
125;214;128;241;marseille;x;
126;107;186;58;Ydnicpolis;x;
127;163;148;17;Chamlampaea;x;
128;202;86;14;Kiometaae;x;
129;5;128;250;quimper;x;
130;75;226;7;Askberlia;x;
131;249;62;54;Hyeiolthus;x;
132;56;89;62;Ankmaressa;x;
133;123;129;2;Kagonus;x;
134;125;129;4;Demetmantidus;x;
135;192;129;4;Lekhamethathos;x;
136;173;183;15;Idalmassarias;x;
137;225;129;7;lucca;x;
138;68;129;7;Imjuera;x;
139;250;129;8;Alinmasthera;x;
140;175;129;10;Leiklazmenus;x;
141;58;129;11;Diceryththus;x;
142;155;237;32;Neamandus;x;
143;100;129;13;Didykatatiri;x;
144;239;129;14;Knilinthrae;x;
145;60;129;15;Oenmassine;x;
146;130;129;15;Bradimatrias;x;
147;124;129;17;Aenmetthera;x;
148;143;129;18;Eubmolia;x;
149;122;129;18;Epicniina;x;
150;45;1;20;Lefnicus;x;
151;195;129;18;Megaodelia;x;
152;105;113;28;Lekhaytoli;x;
153;66;129;17;Hismaronlea;x;
154;189;183;19;Knoskydmenus;x;
155;148;129;25;Knidcythcum;x;
156;245;129;25;Laolefkaea;x;
157;227;129;27;Astlaodithera;x;
158;127;129;28;Hikitrias;x;
159;235;186;66;Cebabnes;x;
160;119;129;30;Laoborysnae;x;
161;171;129;29;Lapithmegalia;x;
162;93;129;32;Katkiotherna;x;
163;170;129;34;Kerkinkelia;x;
164;230;129;36;Megacorcessa;x;
165;100;129;36;Caljualous;x;
166;209;129;36;Mesereatrea;x;
167;107;78;31;Lefalion;x;
168;238;129;40;Orestlekhmea;x;
169;164;129;42;Crotgonila;x;
170;100;129;42;Lisastherna;x;
171;190;105;45;Gocallia;x;
172;122;129;46;Itmorgaida;x;
173;70;129;47;Lebeklaate;x;
174;63;129;48;Moargate;x;
175;50;129;48;Idaniaida;x;
176;95;129;49;Oenclelea;x;
177;185;129;51;Iolleontdus;x;
178;172;129;51;Cleoneaine;x;
179;66;129;51;Calylapithlia;x;
180;222;129;54;Lammarmaae;x;
181;241;129;51;Iascorila;x;
182;50;129;56;Massmethaai;x;
183;77;129;57;Juithanate;x;
184;195;129;56;Nalefkaina;x;
185;94;129;59;Alinleoyra;x;
186;102;129;60;Cleomiseia;x;
187;157;129;61;salamanca;x;
188;100;129;56;Delarglia;x;
189;135;129;63;Bythkimios;x;
190;154;129;64;Croleines;x;
191;50;129;65;Corcargessa;x;
192;147;97;61;Gournautherna;x;
193;70;129;63;Imblarisessa;x;
194;54;129;68;Ydlilader;x;
195;117;129;69;Monaerythina;x;
196;218;129;69;Olleieia;x;
197;247;129;70;Astmytrias;x;
198;128;129;72;Kynmasstrias;x;
199;107;129;68;Alikorintetta;x;
200;113;129;71;Odelektes;x;
201;114;129;75;Lapikannessa;x;
202;201;60;16;Leibeopusder;x;
203;225;253;19;Megalkalrias;x;
204;59;237;44;Madytonchatrea;x;
205;211;129;71;Goialylia;x;
206;164;121;27;Amarymalessa;x;
207;240;229;59;Caldimdus;x;
208;145;75;0;Lapitandrnae;x;
209;76;210;40;Clekyrenmenus;x;
210;72;191;20;Koumethuate;x;
211;171;59;28;Methkannmenus;x;
212;125;234;4;Megamylalia;x;
213;73;113;45;Kumbraina;x;
214;251;237;52;Italekion;x;
215;84;121;33;Magnankinon;x;
216;86;254;61;Aphidioila;x;
217;151;218;32;Larimorgtrias;x;
218;200;140;55;Boryslekhoas;x;
219;159;78;53;Monoastaththos;x;
